Module: mul_float_4in_regout_regin

--------------------------------------------------Timing Report--------------------------------------------------

DEW         DFW         Slack(ns)   Requirement(ns)
4           17          270         270         0           0           126         0           0           0           5           
4           18          238         238         0           0           132         0           0           0           10          
4           19          343         343         0           0           138         0           0           0           16          
4           20          350         350         0           0           144         0           0           0           16          
5           4           47          47          0           0           54          0           0           0           1           
5           5           91          91          0           0           60          0           0           0           1           
5           6           54          54          0           0           66          0           0           0           2           
5           7           61          61          0           0           72          0           0           0           2           
5           8           112         112         0           0           78          0           0           0           4           
5           9           122         122         0           0           84          0           0           0           4           
5           10          137         137         0           0           90          0           0           0           4           
5           11          163         163         0           0           96          0           0           0           5           
5           12          191         191         0           0           102         0           0           0           5           
5           13          178         178         0           0           108         0           0           0           9           
5           14          195         195         0           0           114         0           0           0           9           
5           15          197         197         0           0           120         0           0           0           7           
5           16          214         214         0           0           126         0           0           0           7           
5           17          276         276         0           0           132         0           0           0           5           
5           18          240         240         0           0           138         0           0           0           10          
5           19          341         341         0           0           144         0           0           0           16          
5           20          363         363         0           0           150         0           0           0           16          
6           4           60          60          0           0           60          0           0           0           1           
6           5           103         103         0           0           66          0           0           0           1           
6           6           75          75          0           0           72          0           0           0           2           
6           7           61          61          0           0           78          0           0           0           2           
6           8           108         108         0           0           84          0           0           0           4           
6           9           125         125         0           0           90          0           0           0           4           
6           10          141         141         0           0           96          0           0           0           4           
6           11          190         190         0           0           102         0           0           0           5           
6           12          186         186         0           0           108         0           0           0           5           
6           13          192         192         0           0           114         0           0           0           9           
6           14          198         198         0           0           120         0           0           0           9           
6           15          206         206         0           0           126         0           0           0           7           
6           16          232         232         0           0           132         0           0           0           7           
6           17          283         283         0           0           138         0           0           0           5           
6           18          243         243         0           0           144         0           0           0           10          
6           19          352         352         0           0           150         0           0           0           16          
6           20          363         363         0           0           156         0           0           0           16          
7           4           66          66          0           0           66          0           0           0           1           
7           5           108         108         0           0           72          0           0           0           1           
7           6           78          78          0           0           78          0           0           0           2           
7           7           85          85          0           0           84          0           0           0           2           
7           8           121         121         0           0           90          0           0           0           4           
7           9           152         152         0           0           96          0           0           0           4           
7           10          160         160         0           0           102         0           0           0           4           
7           11          183         183         0           0           108         0           0           0           5           
7           12          210         210         0           0           114         0           0           0           5           
7           13          208         208         0           0           120         0           0           0           9           
7           14          219         219         0           0           126         0           0           0           9           
7           15          216         216         0           0           132         0           0           0           7           
7           16          237         237         0           0           138         0           0           0           7           
7           17          289         289         0           0           144         0           0           0           5           
7           18          255         255         0           0           150         0           0           0           10          
7           19          364         364         0           0           156         0           0           0           16          
7           20          377         377         0           0           162         0           0           0           16          
8           4           77          77          0           0           72          0           0           0           1           
8           5           116         116         0           0           78          0           0           0           1           
8           6           82          82          0           0           84          0           0           0           2           
8           7           90          90          0           0           90          0           0           0           2           
8           8           130         130         0           0           96          0           0           0           4           
8           9           148         148         0           0           102         0           0           0           4           
8           10          171         171         0           0           108         0           0           0           4           
8           11          203         203         0           0           114         0           0           0           5           
8           12          213         213         0           0           120         0           0           0           5           
8           13          211         211         0           0           126         0           0           0           9           
8           14          229         229         0           0           132         0           0           0           9           
8           15          224         224         0           0           138         0           0           0           7           
8           16          230         230         0           0           144         0           0           0           7           
8           17          298         298         0           0           150         0           0           0           5           
8           18          263         263         0           0           156         0           0           0           10          
8           19          370         370         0           0           162         0           0           0           16          
8           20          380         380         0           0           168         0           0           0           16          
9           4           82          82          0           0           78          0           0           0           1           
9           5           124         124         0           0           84          0           0           0           1           
9           6           97          97          0           0           90          0           0           0           2           
9           7           92          92          0           0           96          0           0           0           2           
9           8           145         145         0           0           102         0           0           0           4           
9           9           147         147         0           0           108         0           0           0           4           
9           10          172         172         0           0           114         0           0           0           4           
9           11          206         206         0           0           120         0           0           0           5           
9           12          236         236         0           0           126         0           0           0           5           
9           13          221         221         0           0           132         0           0           0           9           
9           14          232         232         0           0           138         0           0           0           9           
9           15          224         224         0           0           144         0           0           0           7           
9           16          249         249         0           0           150         0           0           0           7           
9           17          305         305         0           0           156         0           0           0           5           
9           18          265         265         0           0           162         0           0           0           10          
9           19          379         379         0           0           168         0           0           0           16          
9           20          386         386         0           0           174         0           0           0           16          
10          4           82          82          0           0           84          0           0           0           1           
10          5           122         122         0           0           90          0           0           0           1           
10          6           104         104         0           0           96          0           0           0           2           
10          7           100         100         0           0           102         0           0           0           2           
10          8           138         138         0           0           108         0           0           0           4           
10          9           162         162         0           0           114         0           0           0           4           
10          10          175         175         0           0           120         0           0           0           4           
10          11          203         203         0           0           126         0           0           0           5           
10          12          226         226         0           0           132         0           0           0           5           
10          13          227         227         0           0           138         0           0           0           9           
10          14          250         250         0           0           144         0           0           0           9           
10          15          232         232         0           0           150         0           0           0           7           
10          16          254         254         0           0           156         0           0           0           7           
10          17          317         317         0           0           162         0           0           0           5           
10          18          277         277         0           0           168         0           0           0           10          
10          19          390         390         0           0           174         0           0           0           16          
10          20          390         390         0           0           180         0           0           0           16          
11          4           90          90          0           0           90          0           0           0           1           
11          5           125         125         0           0           96          0           0           0           1           
11          6           119         119         0           0           102         0           0           0           2           
11          7           116         116         0           0           108         0           0           0           2           
